"FileName","SampleID","cal","class"
"250513_114815.mea","250513_114815.mea",1,"M1"
"250513_122043.mea","250513_122043.mea",1,"blank"
"250513_125311.mea","250513_125311.mea",1,"ppb0.1"
"250513_132539.mea","250513_132539.mea",1,"blank"
"250513_135807.mea","250513_135807.mea",1,"ppb10"
"250513_143034.mea","250513_143034.mea",1,"blank"
"250513_150303.mea","250513_150303.mea",1,"ppb30"
"250513_153532.mea","250513_153532.mea",1,"blank"
"250513_160801.mea","250513_160801.mea",1,"ppb1"
"250513_164029.mea","250513_164029.mea",1,"blank"
"250513_171257.mea","250513_171257.mea",1,"ppb0.5"
"250513_174525.mea","250513_174525.mea",1,"blank"
"250513_181755.mea","250513_181755.mea",1,"ppb7.5"
"250513_185024.mea","250513_185024.mea",1,"blank"
"250513_192251.mea","250513_192251.mea",1,"ppb0"
"250513_195519.mea","250513_195519.mea",1,"blank"
"250513_202747.mea","250513_202747.mea",1,"ppb20"
"250513_210015.mea","250513_210015.mea",1,"blank"
"250513_213243.mea","250513_213243.mea",1,"ppb5"
"250513_220513.mea","250513_220513.mea",1,"blank"
"250513_223742.mea","250513_223742.mea",1,"ppb15"
"250513_231010.mea","250513_231010.mea",1,"blank"
"250514_122852.mea","250514_122852.mea",2,"M1"
"250514_130121.mea","250514_130121.mea",2,"blank"
"250514_133350.mea","250514_133350.mea",2,"ppb7.5"
"250514_140619.mea","250514_140619.mea",2,"blank"
"250514_143849.mea","250514_143849.mea",2,"ppb5"
"250514_151116.mea","250514_151116.mea",2,"blank"
"250514_154344.mea","250514_154344.mea",2,"ppb0.1"
"250514_161611.mea","250514_161611.mea",2,"blank"
"250514_164839.mea","250514_164839.mea",2,"ppb20"
"250514_172108.mea","250514_172108.mea",2,"blank"
"250514_175336.mea","250514_175336.mea",2,"ppb15"
"250514_182604.mea","250514_182604.mea",2,"blank"
"250514_185833.mea","250514_185833.mea",2,"ppb30"
"250514_193101.mea","250514_193101.mea",2,"blank"
"250514_200329.mea","250514_200329.mea",2,"ppb0.5"
"250514_203558.mea","250514_203558.mea",2,"blank"
"250514_210829.mea","250514_210829.mea",2,"ppb1"
"250514_214056.mea","250514_214056.mea",2,"blank"
"250514_221325.mea","250514_221325.mea",2,"ppb10"
"250514_224553.mea","250514_224553.mea",2,"blank"
"250514_231820.mea","250514_231820.mea",2,"ppb0"
"250514_235049.mea","250514_235049.mea",2,"blank"
"250515_120024.mea","250515_120024.mea",3,"M1"
"250515_123253.mea","250515_123253.mea",3,"blank"
"250515_130521.mea","250515_130521.mea",3,"ppb30"
"250515_133748.mea","250515_133748.mea",3,"blank"
"250515_141016.mea","250515_141016.mea",3,"ppb0"
"250515_144244.mea","250515_144244.mea",3,"blank"
"250515_151513.mea","250515_151513.mea",3,"ppb15"
"250515_154741.mea","250515_154741.mea",3,"blank"
"250515_162009.mea","250515_162009.mea",3,"ppb0.5"
"250515_165237.mea","250515_165237.mea",3,"blank"
"250515_172504.mea","250515_172504.mea",3,"ppb20"
"250515_175732.mea","250515_175732.mea",3,"blank"
"250515_183001.mea","250515_183001.mea",3,"ppb1"
"250515_190230.mea","250515_190230.mea",3,"blank"
"250515_193459.mea","250515_193459.mea",3,"ppb10"
"250515_200727.mea","250515_200727.mea",3,"blank"
"250515_203957.mea","250515_203957.mea",3,"ppb7.5"
"250515_211224.mea","250515_211224.mea",3,"blank"
"250515_214452.mea","250515_214452.mea",3,"ppb0.1"
"250515_221721.mea","250515_221721.mea",3,"blank"
"250515_224950.mea","250515_224950.mea",3,"ppb5"
"250515_232219.mea","250515_232219.mea",3,"blank"
